,Содержание,Сервис,Приоритет,Статус,Функциональная группа,Крайний срок,Дата обращения,Тип обращения на момент подачи,Тип обращения итоговый,Решение             ,Тип переклассификации,Дата восстановления,Дата закрытия обращения,Критичность,Влияние,Система,Место,range_time,numeric_sod,numeric_ans,time_to_solve
4393,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-09 15:22,2018-02-03 14:07:00,0,0,Работы по обращению выполнены,0,2018-02-04 12:01:00,2018-02-11 13:21:00,2,4,168,54,191.2333333333333,374,1167,145.25
4394,Система11: ошибка при создании запроса,Сервис11,3,1,81,2018-02-08 15:22,2018-02-03 14:07:00,0,0,"выполнена проверка, штатная работа.",0,2018-02-03 14:36:00,2018-02-11 06:56:00,4,4,11,5,184.81666666666663,1037,1437,121.25
4395,"""Заявка Random63218"" Исполнение заявок на предоставление / изменение логического доступа к Система180 По письм",Сервис171,3,1,8,2018-02-09 06:36,2018-02-03 14:07:00,0,0,Работы по обращению выполнены,0,2018-02-04 15:05:00,2018-02-07 03:04:00,4,4,180,52,84.95,34,1167,136.48333333333332
4396,Заявка на прекращение логического доступа к ресурсам ИТС,Сервис95,3,1,194,2018-02-08 15:24,2018-02-03 14:09:00,0,0,заявка исполнена,0,2018-02-04 10:04:00,2018-02-04 14:37:00,4,4,94,131,24.466666666666665,404,1487,121.25
4397,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-08 15:24,2018-02-03 14:09:00,0,0,Выполнена загрузка,0,2018-02-04 11:56:00,2018-02-11 13:15:00,2,4,22,69,191.1,374,209,121.25
4398,Запрос,АРМ,3,1,70,2018-03-15 06:51,2018-02-03 14:13:00,0,0,Работы по обращению выполнены.,0,2018-02-11 14:02:00,2018-02-11 14:08:00,4,3,0,76,191.91666666666663,332,1168,952.6333333333333
4399,Контроль ПУ. Заявка на доступ к портам.,Сервис2,3,1,157,2018-02-08 15:33,2018-02-03 14:18:00,0,0,Исполнено.,0,2018-02-04 15:18:00,2018-02-07 06:32:00,4,4,2,97,88.23333333333333,495,830,121.25
4400,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис41,3,1,8,2018-02-14 07:51,2018-02-03 14:18:00,0,0,Работы по обращению выполнены,0,2018-02-07 03:51:00,2018-02-14 07:52:00,4,4,43,76,257.56666666666666,374,1167,257.55
4401,Заявка на проведение ВКС,Сервис138,3,1,109,2018-02-07 15:35,2018-02-03 14:20:00,0,0,Работы по обращению выполнены.,0,2018-02-04 10:01:00,2018-02-11 11:18:00,3,3,130,82,188.96666666666667,407,1168,97.25
4402,Требуется ремонт замка,Сервис73,3,1,118,2018-02-09 06:36,2018-02-03 14:21:00,0,0,Работы выполнены.,0,2018-02-03 16:08:00,2018-02-11 07:55:00,4,4,71,59,185.56666666666663,1096,1160,136.25
4403,Настройка/Консультация /Техническое обслуживание,Сервис18,3,1,15,2018-02-09 06:37,2018-02-03 14:22:00,0,0,контрагент добавлен,0,2018-02-03 14:38:00,2018-02-03 14:40:00,3,4,18,103,0.3,514,1493,136.25
4404,Система24. Общие вопросы,Сервис43,2,1,23,2018-02-09 06:37,2018-02-03 14:22:00,0,0,"Клиенту по телефону предоставлены рекомендации. Отчет успешно сдан.
Клиент согласовал по телефону закрытие запроса.",0,2018-02-03 16:03:00,2018-02-11 07:55:00,1,3,88,25,185.55,1044,854,136.25
4405,Изменение состава группы,Сервис7,2,1,8,2018-02-09 06:41,2018-02-03 14:26:00,0,0,"Объект Система7  NE_BOSS\**************** включён в группы:
**********;
************",0,2018-02-04 16:02:00,2018-02-14 07:52:00,1,4,7,116,257.43333333333334,472,905,136.25
4406,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-09 06:41,2018-02-03 14:26:00,0,0,Заявка загружена в Система22,0,2018-02-03 14:34:00,2018-02-11 06:50:00,2,4,22,59,184.4,374,792,136.25
4407,Транспортный шлюз,Сервис61,2,1,27,2018-02-09 06:42,2018-02-03 14:27:00,0,0,Информация доведена,0,2018-02-03 14:53:00,2018-02-11 07:09:00,1,3,61,25,184.7,1086,821,136.25
4408,Разблокировка учетной записи пользователя в Система7 (домен BOSS),Сервис7,2,1,0,2018-02-09 06:45,2018-02-03 14:30:00,0,0," Личность пользователя идентифицирована
Причина нарушения: Другая
Выполнена разблокировка учетной записи:  ne_Boss\***********",0,2018-02-03 14:30:00,2018-02-11 06:50:00,1,3,7,82,184.33333333333331,854,16,136.25
4409,Настройка ЭП в Сервис22,Сервис22,3,1,24,2018-02-09 06:45,2018-02-03 14:30:00,0,0,Выполнено,0,2018-02-03 14:48:00,2018-02-11 07:09:00,2,4,22,207,184.65,510,313,136.25
4410,Контроль ПУ. Заявка на доступ к портам.,Сервис2,3,1,28,2018-02-09 06:45,2018-02-03 14:30:00,0,0,Доступ предоставлен согласно заявке,0,2018-02-07 12:56:00,2018-02-14 14:15:00,4,4,2,27,263.75,495,642,136.25
4411,Разблокировка УЗ BOSS\*****,Сервис7,2,1,0,2018-02-09 06:46,2018-02-03 14:31:00,0,0," Личность пользователя идентифицирована
Причина нарушения: Другая
Выполнена разблокировка учетной записи:  ne_Boss\***********",0,2018-02-03 14:31:00,2018-02-03 15:09:00,1,3,7,72,0.6333333333333333,833,16,136.25
4412,Сервисы SNS#1 - Расширенные сервисы,Сервис2,3,1,70,2018-02-10 11:13,2018-02-03 14:31:00,0,0,Работы по обращению выполнены,0,2018-02-07 09:20:00,2018-02-07 10:01:00,4,3,2,117,91.5,1035,1167,164.7
4413,Настройка/Консультация /Техническое обслуживание,Сервис18,3,1,15,2018-02-09 06:47,2018-02-03 14:32:00,0,0,"Добрый день. Создана новая редакция договора для возможности внесения необходимых изменений. Чтобы работать с новой редакцией, необходимо зайти в сведения договора, далее вкладка ""Редакции/версии договора"". На строке с типом ""Исправление к договору"" в статусе ""Проект"" нажать кнопку ""Редактировать"" (иконка в виде карандаша). После внесения корректировок выполнить регистрацию и отправку.
Внесение необходимых изменений в Сервис22 возможно двумя способами:
1. Внести изменения вручную
2. Перед отправкой новой редакции, у уже выгруженного договора в Сервис22 необходимо удалить связь с Система18 (GUID). Тогда при выгрузке новой редакции, в Сервис22 появится новый экземпляр договора с внесенными Вами корректировками. Удалить связь могут сотрудники с ролями ""Контролер ПВД"" и ""Регистратор ПВД"" в Сервис22 (вероятнее всего это сотрудник бухгалтерии), либо сотрудник, сопровождающий Сервис22 на местном уровне.",0,2018-02-03 14:45:00,2018-02-11 07:02:00,3,4,18,71,184.5,514,517,136.25
4414,Необходимо предоставить доступ учетной записи пользователя к сетевому ресурсу.,АРМ,3,1,227,2018-02-09 06:47,2018-02-03 14:32:00,0,0,Доступ предоставлен,0,2018-02-04 07:32:00,2018-02-04 07:38:00,4,4,0,71,17.1,547,626,136.25
4415,Копировально-множительные работы,Сервис25,3,1,287,2018-02-09 06:51,2018-02-03 14:36:00,0,0,Работы по обращению выполнены,0,2018-02-04 12:10:00,2018-02-11 13:28:00,4,4,25,103,190.86666666666667,496,1167,136.25
4416,Элект. документооборотПоиск документов,Сервис22,3,1,178,2018-02-09 06:53,2018-02-03 14:38:00,0,0,Документы перемещены,0,2018-02-04 06:36:00,2018-02-04 12:16:00,2,4,22,120,21.633333333333333,1174,550,136.25
4417,- подключение\скроссировать на рабочем месте пользователя,АРМ,3,1,88,2018-02-09 06:53,2018-02-03 14:38:00,0,0,"Выполнено
ПК подключен к  сегменту ххх
линии подключения скроссированы",0,2018-02-03 14:39:00,2018-02-11 07:02:00,4,3,0,5,184.4,113,314,136.25
4418,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-08 06:55,2018-02-03 14:40:00,0,0,Работы по обращению выполнены,0,2018-02-03 15:44:00,2018-02-11 07:55:00,2,4,101,191,185.25,374,1167,112.25
4419,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис71,3,1,8,2018-02-08 06:58,2018-02-03 14:43:00,0,0,Работы по обращению выполнены,0,2018-02-05 13:55:00,2018-02-07 15:19:00,4,4,138,111,96.6,374,1167,112.25
4420,Заявка (Система500),Сервис22,3,1,383,2018-02-09 07:00,2018-02-03 14:45:00,0,0,Заявка сформирована,0,2018-02-03 14:55:00,2018-02-03 15:05:00,2,3,55,103,0.3333333333333333,343,804,136.25
4421,Заявка на подключение/отключение СВТ к ЛВС,АРМ,3,1,106,2018-02-16 08:16,2018-02-03 14:46:00,0,0,Работы по обращению выполнены,0,2018-02-04 11:59:00,2018-02-11 13:15:00,4,3,0,75,190.4833333333333,359,1167,305.5
4422,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-09 07:02,2018-02-03 14:47:00,0,0,Заявки загружены в Система22,0,2018-02-04 13:43:00,2018-02-14 07:13:00,2,4,22,118,256.43333333333334,374,806,136.25
4423,Ремонт кресла,Сервис73,3,1,110,2018-02-09 07:03,2018-02-03 14:48:00,0,0,Выполнено,0,2018-02-04 14:17:00,2018-02-07 08:19:00,4,4,71,131,89.51666666666667,959,313,136.25
4424,Заявка на подключение/отключение СВТ к ЛВС,АРМ,3,1,106,2018-02-16 08:18,2018-02-03 14:48:00,0,0,Работы по обращению выполнены,0,2018-02-04 05:05:00,2018-02-11 07:55:00,4,3,0,75,185.11666666666667,359,1167,305.5
4425,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-08 06:36,2018-02-03 14:49:00,0,0,Работы по обращению выполнены,0,2018-02-04 07:49:00,2018-02-11 09:04:00,2,4,101,102,186.25,374,1167,111.78333333333333
4426,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис12,2,1,67,2018-02-09 07:05,2018-02-03 14:50:00,0,0,Выполнено.,0,2018-02-03 14:59:00,2018-02-11 07:15:00,1,4,143,187,184.41666666666663,374,365,136.25
4427,"706787,8704 - О подключении нового пользователя Система26",АРМ,3,1,70,2018-02-09 07:07,2018-02-03 14:52:00,0,0,Работы по обращению выполнены.,0,2018-02-07 13:56:00,2018-02-14 15:12:00,4,3,0,72,264.3333333333333,205,1168,136.25
4428,"706787,8704 - О подключении нового пользователя Система26",АРМ,3,1,70,2018-02-09 07:07,2018-02-03 14:52:00,0,0,Работы по обращению выполнены.,0,2018-02-07 14:04:00,2018-02-14 15:25:00,4,3,0,72,264.55,205,1168,136.25
4429,(А) Прекращение доступа в Система500,Сервис26,2,1,52,2018-02-09 07:07,2018-02-03 14:52:00,0,0,Работы по обращению выполнены,0,2018-02-07 09:44:00,2018-02-14 11:03:00,1,3,26,63,260.18333333333334,72,1167,136.25
4430,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-09 07:11,2018-02-03 14:56:00,0,0,Заявка загружена в Система22,0,2018-02-04 13:50:00,2018-02-04 13:59:00,2,4,22,176,23.05,374,792,136.25
4431,Привязка принтеров/МФУ к пользователю,Сервис25,3,1,384,2018-02-09 07:12,2018-02-03 14:57:00,0,0,Выполнена настройка принтера.,0,2018-02-03 15:35:00,2018-02-11 07:55:00,4,4,25,71,184.96666666666667,773,238,136.25
4432,Изменение состава группы,Сервис7,2,1,8,2018-02-09 07:13,2018-02-03 14:58:00,0,0,Объект Система7  NE_BOSS\**************** включен в группу ********** домена NE_BOSS,0,2018-02-03 15:26:00,2018-02-11 07:43:00,1,4,7,36,184.75,472,904,136.25
4433,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис41,3,1,8,2018-02-09 07:14,2018-02-03 14:59:00,0,0,Работы по обращению выполнены,0,2018-02-04 15:34:00,2018-02-06 07:57:00,4,4,43,100,64.96666666666667,374,1167,136.25
4434,Разблокировка учётной записи,Сервис7,2,1,0,2018-02-09 07:14,2018-02-03 14:59:00,0,0,"Выполнена разблокировка УЗ Сервис7 *************************, пользователь идентифицирован =ОП= ",0,2018-02-03 15:08:00,2018-02-04 06:27:00,1,3,7,103,15.466666666666669,858,277,136.25
4435,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис41,3,1,8,2018-02-09 07:15,2018-02-03 15:00:00,0,0,Работы по обращению выполнены,0,2018-02-04 15:32:00,2018-02-14 07:52:00,4,4,43,147,256.8666666666667,374,1167,136.25
4436,Настройка ЭП в Сервис22,Сервис22,3,1,24,2018-02-09 07:16,2018-02-03 15:01:00,0,0,Права предоставлены.,0,2018-02-03 15:33:00,2018-02-11 07:49:00,2,4,22,35,184.8,510,1094,136.25
4437,Письмо Random846Заявка,АРМ,3,1,41,2018-02-09 07:16,2018-02-03 15:01:00,0,0,Исполнено,0,2018-02-07 08:30:00,2018-02-08 08:46:00,4,4,0,59,113.75,710,829,136.25
4438,Система26,Сервис26,2,1,44,2018-02-09 07:17,2018-02-03 15:02:00,0,0,"Добрый день, рег. данные изменены",0,2018-02-04 08:35:00,2018-02-11 09:55:00,1,3,26,63,186.88333333333333,1045,488,136.25
4439,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 07:22,2018-02-03 15:07:00,0,0,Работы по обращению выполнены,0,2018-02-03 15:57:00,2018-02-11 07:55:00,1,4,13,36,184.8,374,1167,112.25
4440,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 07:24,2018-02-03 15:09:00,0,0,Работы по обращению выполнены,0,2018-02-04 06:47:00,2018-02-11 08:25:00,1,4,13,36,185.26666666666668,374,1167,112.25
4441,<Бот-наблюдения> Система54. Ухудшение статуса сервиса.  ,Сервис54,3,1,185,2018-02-08 13:24,2018-02-03 15:09:00,1,1,Самовосстановление,0,2018-02-04 06:37:00,2018-02-11 07:55:00,4,3,54,5,184.76666666666668,247,1218,118.25
4442,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 07:25,2018-02-03 15:10:00,0,0,Работы по обращению выполнены,0,2018-02-03 16:12:00,2018-02-11 07:55:00,1,4,13,104,184.75,374,1167,112.25
4443,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 07:26,2018-02-03 15:11:00,0,0,Работы по обращению выполнены,0,2018-02-03 16:12:00,2018-02-11 07:55:00,1,4,13,69,184.7333333333333,374,1167,112.25
4444,Настройка ЭП в Сервис22,Сервис22,3,1,24,2018-02-09 07:26,2018-02-03 15:11:00,0,0,Права предоставлены.,0,2018-02-03 15:53:00,2018-02-11 07:55:00,2,4,22,70,184.7333333333333,510,1094,136.25
4445,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 07:28,2018-02-03 15:13:00,0,0,Работы по обращению выполнены,0,2018-02-03 16:13:00,2018-02-11 07:55:00,1,4,13,86,184.7,374,1167,112.25
4446,Предоставление техники для БРМ,АРМ,3,1,70,2018-02-16 13:05,2018-02-03 15:13:00,0,0,Работы по обращению выполнены,0,2018-02-16 10:02:00,2018-02-23 11:22:00,4,4,0,82,476.15,766,1167,309.8666666666667
4447,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-09 07:29,2018-02-03 15:14:00,0,0,Работы по обращению выполнены,0,2018-02-07 00:31:00,2018-02-14 07:52:00,2,4,13,187,256.6333333333333,374,1167,136.25
4448,Система41,Сервис39,3,1,27,2018-02-11 15:36,2018-02-03 15:15:00,0,0,Клиент проинформирован по эл. почте,0,2018-02-09 12:57:00,2018-02-16 14:12:00,4,3,41,25,310.95,1047,853,192.35
4449,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-09 07:31,2018-02-03 15:16:00,0,0,Файл разделитель загружен,0,2018-02-04 04:57:00,2018-02-11 07:55:00,2,4,22,265,184.65,374,1368,136.25
4450,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-09 07:32,2018-02-03 15:17:00,0,0,Работы по обращению выполнены,0,2018-02-07 09:11:00,2018-02-14 10:32:00,2,4,22,36,259.25,374,1167,136.25
4451,Система20,Сервис20,3,1,23,2018-02-09 15:36,2018-02-03 15:21:00,1,0,"При повторении проблемы, просьба указать номера обращений.",2,2018-02-09 09:00:00,2018-02-16 10:18:00,2,3,146,69,306.95,1038,1106,144.25
4452,Г Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис18,3,1,8,2018-02-09 07:37,2018-02-03 15:22:00,0,0,Доступ в Система18 скорректирован автоматически средствами Сервис27.,0,2018-02-04 12:47:00,2018-02-04 16:05:00,3,4,18,36,24.716666666666665,311,558,136.25
4453,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис78,2,1,70,2018-04-11 13:21,2018-02-03 15:26:00,0,0,Работы по обращению выполнены,0,2018-04-01 06:57:00,2018-04-08 08:25:00,1,4,77,76,1528.9833333333331,374,1167,1605.9166666666667
4454,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис12,2,1,70,2018-02-08 07:41,2018-02-03 15:26:00,0,0,Работы по обращению выполнены,0,2018-02-04 12:21:00,2018-02-11 13:41:00,1,4,135,72,190.25,374,1167,112.25
4455,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 07:42,2018-02-03 15:27:00,0,0,Работы по обращению выполнены,0,2018-02-04 06:56:00,2018-02-11 08:25:00,1,4,13,193,184.96666666666667,374,1167,112.25
4456,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 07:43,2018-02-03 15:28:00,0,0,Работы по обращению выполнены,0,2018-02-03 16:24:00,2018-02-11 07:55:00,1,4,13,149,184.45,374,1167,112.25
4457,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 07:44,2018-02-03 15:29:00,0,0,Работы по обращению выполнены,0,2018-02-04 10:24:00,2018-02-11 11:42:00,1,4,13,72,188.21666666666667,374,1167,112.25
4458,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 07:44,2018-02-03 15:29:00,0,0,Работы по обращению выполнены,0,2018-02-04 10:24:00,2018-02-11 11:42:00,1,4,13,5,188.21666666666667,374,1167,112.25
4459,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 07:44,2018-02-03 15:29:00,0,0,Работы по обращению выполнены,0,2018-02-04 06:50:00,2018-02-11 08:25:00,1,4,13,266,184.9333333333333,374,1167,112.25
4460,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 07:44,2018-02-03 15:29:00,0,0,Работы по обращению выполнены,0,2018-02-04 06:51:00,2018-02-04 07:24:00,1,4,13,176,15.916666666666666,374,1167,112.25
4461,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 07:44,2018-02-03 15:29:00,0,0,Работы по обращению выполнены,0,2018-02-04 10:24:00,2018-02-11 11:42:00,1,4,13,118,188.21666666666667,374,1167,112.25
4462,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 03:51,2018-02-03 15:34:00,0,0,Работы по обращению выполнены,0,2018-02-04 10:25:00,2018-02-11 11:42:00,1,4,13,196,188.13333333333333,374,1167,108.28333333333333
4463,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 03:51,2018-02-03 15:34:00,0,0,Работы по обращению выполнены,0,2018-02-04 10:24:00,2018-02-11 11:42:00,1,4,13,32,188.13333333333333,374,1167,108.28333333333333
4464,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис71,3,1,8,2018-02-08 03:51,2018-02-03 15:35:00,0,0,Работы по обращению выполнены,0,2018-02-03 15:58:00,2018-02-11 07:55:00,4,4,138,116,184.33333333333331,374,1167,108.26666666666667
4465,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 03:51,2018-02-03 15:36:00,0,0,Работы по обращению выполнены,0,2018-02-04 06:52:00,2018-02-11 08:25:00,1,4,13,267,184.81666666666663,374,1167,108.25
4466,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 03:51,2018-02-03 15:36:00,0,0,Работы по обращению выполнены,0,2018-02-04 06:39:00,2018-02-11 07:55:00,1,4,13,118,184.31666666666663,374,1167,108.25
4467,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 03:51,2018-02-03 15:36:00,0,0,Работы по обращению выполнены,0,2018-02-04 06:41:00,2018-02-11 08:25:00,1,4,13,118,184.81666666666663,374,1167,108.25
4468,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис71,3,1,8,2018-02-08 03:51,2018-02-03 15:37:00,0,0,Работы по обращению выполнены,0,2018-02-05 14:02:00,2018-02-14 07:52:00,4,4,138,105,256.25,374,1167,108.23333333333333
4469,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис71,3,1,8,2018-02-08 03:51,2018-02-03 15:37:00,0,0,Работы по обращению выполнены,0,2018-02-04 10:23:00,2018-02-11 11:42:00,4,4,138,81,188.08333333333331,374,1167,108.23333333333333
4470,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 03:51,2018-02-03 15:37:00,0,0,Работы по обращению выполнены,0,2018-02-04 06:14:00,2018-02-11 07:55:00,1,4,13,22,184.3,374,1167,108.23333333333333
4471,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-08 07:51,2018-02-03 15:45:00,0,0,Работы по обращению выполнены,0,2018-02-07 05:11:00,2018-02-14 07:52:00,2,4,101,268,256.1166666666667,374,1167,112.1
4472,Разблокировка УЗ Система7 REGION\*****,Сервис7,2,1,0,2018-02-09 07:51,2018-02-03 15:45:00,0,0,выполнена разблокировка УЗ Система7 N)_BOSS\****************. Причина блокировки пользователю не известна.,0,2018-02-03 15:45:00,2018-02-03 15:52:00,1,3,7,36,0.1166666666666666,835,1438,136.1
4473,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис77,2,1,67,2018-02-09 07:51,2018-02-03 15:46:00,0,0,Выполнено.,0,2018-02-04 07:02:00,2018-02-11 08:25:00,1,4,141,49,184.65,374,365,136.08333333333334
4474,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис161,3,1,125,2018-02-09 07:51,2018-02-03 15:46:00,0,0,ip адрес изменен,0,2018-02-09 07:36:00,2018-02-16 14:53:00,2,4,169,61,311.1166666666667,374,47,136.08333333333334
4475,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 03:51,2018-02-03 15:47:00,0,0,Работы по обращению выполнены,0,2018-02-04 10:06:00,2018-02-11 11:24:00,1,4,13,76,187.61666666666667,374,1167,108.06666666666666
4476,Блокировка УЗСервис7,Сервис7,2,1,0,2018-02-09 07:51,2018-02-03 15:48:00,0,0," Личность пользователя идентифицирована
Причина нарушения: Другая
Выполнена разблокировка учетной записи:  ne_Boss\***********",0,2018-02-03 15:49:00,2018-02-11 07:55:00,1,3,7,115,184.11666666666667,278,16,136.05
4477,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис3,3,1,70,2018-02-23 10:21,2018-02-03 15:49:00,0,0,Работы по обращению выполнены,0,2018-02-14 13:26:00,2018-02-14 13:35:00,4,4,3,86,261.76666666666665,374,1167,474.53333333333336
4478,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис3,3,1,70,2018-02-23 10:21,2018-02-03 15:49:00,0,0,Работы по обращению выполнены,0,2018-02-14 13:29:00,2018-02-21 14:45:00,4,4,3,86,430.9333333333333,374,1167,474.53333333333336
4479,Система41,Сервис39,3,1,27,2018-02-09 07:51,2018-02-03 15:53:00,0,0,Информация направлена клиенту по эл. почте,0,2018-02-03 17:22:00,2018-02-14 14:15:00,4,3,41,25,262.3666666666667,1047,825,135.96666666666667
4480,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-09 07:51,2018-02-03 15:58:00,0,0,Заявка загружена в Система22,0,2018-02-04 13:59:00,2018-02-07 12:08:00,2,4,22,69,92.16666666666669,374,792,135.88333333333333
4481,Система41,Сервис39,3,1,27,2018-02-09 15:36,2018-02-03 15:58:00,0,0,Информация направлена клиенту по эл. почте,0,2018-02-04 15:51:00,2018-02-15 07:54:00,4,3,41,25,279.93333333333334,1047,825,143.63333333333333
4482,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-09 07:51,2018-02-03 15:59:00,0,0,Заявка загружена в Система22,0,2018-02-04 13:49:00,2018-02-14 07:19:00,2,4,22,82,255.33333333333331,374,792,135.86666666666667
4483,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-09 07:51,2018-02-03 16:01:00,0,0,Файл разделитель загружен,0,2018-02-04 05:06:00,2018-02-11 07:55:00,2,4,22,74,183.9,374,1368,135.83333333333334
4484,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-08 07:51,2018-02-03 16:01:00,0,0,Работы по обращению выполнены,0,2018-02-04 07:50:00,2018-02-11 09:11:00,2,4,101,74,185.16666666666663,374,1167,111.83333333333333
4485,Система41,Сервис39,3,1,27,2018-02-09 07:51,2018-02-03 16:05:00,0,0,Информация доведена,0,2018-02-03 17:35:00,2018-02-16 07:55:00,4,3,41,25,303.8333333333333,1047,821,135.76666666666668
4486,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-08 03:51,2018-02-03 16:08:00,0,0,Работы по обращению выполнены,0,2018-02-04 10:25:00,2018-02-11 11:42:00,1,4,13,169,187.56666666666663,374,1167,107.71666666666667
4487,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис71,3,1,8,2018-02-08 03:51,2018-02-03 16:08:00,0,0,Работы по обращению выполнены,0,2018-02-03 16:29:00,2018-02-04 06:46:00,4,4,138,60,14.633333333333333,374,1167,107.71666666666667
4488,Замена/добавление Сертификат на сервере Система13,Сервис13,2,1,8,2018-02-09 07:51,2018-02-03 16:09:00,0,0,Сертификат-файл зарегистрирован,0,2018-02-04 07:15:00,2018-02-11 08:36:00,1,4,13,100,184.45,330,1231,135.7
4489,Блокировка УЗСервис7,Сервис7,2,1,0,2018-02-09 07:51,2018-02-03 16:14:00,0,0," Личность пользователя идентифицирована
Причина нарушения: Другая
Выполнена разблокировка учетной записи:  ne_Boss\***********",0,2018-02-03 16:14:00,2018-02-11 07:55:00,1,3,7,76,183.6833333333333,278,16,135.61666666666667
4490,Система22. Налог на прибыль. Частичная ликвидация.,Сервис22,3,1,41,2018-02-13 21:36,2018-02-03 16:39:00,1,0,Снимки экрана отсутствуют. Запрос будет открыт повторно при возобновлении проблемы.,2,2018-02-08 08:32:00,2018-02-15 09:52:00,2,3,22,59,281.21666666666664,1043,1242,244.95
4491,Транспортный шлюз,Сервис61,2,1,27,2018-02-09 15:36,2018-02-03 16:44:00,0,0,Клиент проинформирован по эл. почте,0,2018-02-04 15:23:00,2018-02-14 07:52:00,1,3,61,25,255.13333333333333,1086,853,142.86666666666667
4492,Предоставление техники для БРМ,АРМ,3,1,70,2018-02-22 14:51,2018-02-03 16:50:00,0,0,Работы по обращению выполнены,0,2018-02-15 10:30:00,2018-02-22 11:48:00,4,4,0,72,450.9666666666666,766,1167,454.01666666666665
4493,Заявка о прекращении лог.доступа  ,АРМ,3,1,367,2018-02-09 07:51,2018-02-03 16:53:00,0,0,Работы по обращению выполнены,0,2018-02-05 06:34:00,2018-02-14 07:52:00,4,4,0,207,254.9833333333333,454,1167,134.96666666666667
4494,Заявка о прекращении лог.доступа  ,АРМ,3,1,367,2018-02-09 07:51,2018-02-03 17:04:00,0,0,Работы по обращению выполнены,0,2018-02-07 08:31:00,2018-02-14 09:46:00,4,4,0,130,256.7,454,1167,134.78333333333333
